,t,m
PPM1F,1.75816567419064,2.63724851128596
CYP26B1,-1.75815001207188,-2.63722501810782
CGAS,1.75809503818158,2.63714255727237
JADE2,1.75798433003938,2.63697649505907
CNIH3,1.75670239614418,2.63505359421627
AREG,1.75664642448979,2.63496963673468
LINS1,1.75584091427877,2.63376137141816
TOR3A,1.75523134784708,2.63284702177062
MERTK,-1.75436739313158,-2.63155108969737
KLHDC4,1.75415900751625,2.63123851127438
FBXL17,-1.75387009107793,-2.63080513661689
AK1,-1.75385268301428,-2.63077902452142
PON2,1.75341464420915,2.63012196631372
NAP1L5,-1.75261190403153,-2.62891785604729
CDC45,1.75175334080806,2.62763001121209
SLC66A3,-1.75154683482179,-2.62732025223269
EGFR,-1.75145452167761,-2.62718178251641
ARHGAP4,1.75132686872166,2.62699030308249
ACTA2,1.68910199987309,2.53365299980964
ADAL,-1.75121574673354,-2.62682362010031
DRAM1,-1.7505194243648,-2.6257791365472
UPK1B,-1.68744833358295,-2.53117250037443
USP3,-1.74971498889347,-2.6245724833402
ORAI1,1.7483211570264,2.6224817355396
ATP6AP1,-1.74711099012597,-2.62066648518896
ACADSB,-1.74698055092953,-2.62047082639429
RAB17,-1.74689629866834,-2.62034444800251
SH3BP2,1.74660081661136,2.61990122491704
RTN4R,1.74656391544671,2.61984587317006
NAGK,-1.74638099583671,-2.61957149375506
ACTR3C,-1.74513326359131,-2.61769989538697
FAM171B,-1.7445052807934,-2.6167579211901
KCNK6,-1.74448847779941,-2.61673271669912
FBXO17,1.74347919618236,2.61521879427354
C8orf58,1.74338256600263,2.61507384900395
HIVEP2,1.74309960895484,2.61464941343226
MRPS5,1.74298207799901,2.61447311699852
OSBPL8,1.74293918914604,2.61440878371906
CEP83,1.74288587162876,2.61432880744314
DCTPP1,1.74260801456599,2.61391202184898
ZNF738,1.74252167017123,2.61378250525684
MYO7A,-1.74217171732087,-2.6132575759813
PPP1R16A,1.7419949210342,2.6129923815513
FBXO45,1.74196577762384,2.61294866643576
FANCA,1.74102761183655,2.61154141775482
RYR1,-1.74030709089325,-2.61046063633988
IFITM1,1.73968093038923,2.60952139558384
CD74,1.73952791557233,2.6092918733585
NSMCE4A,1.73940942502763,2.60911413754144
ZNF574,1.73901469278647,2.60852203917971
HSPB1,1.73863249811858,2.60794874717787
SLC50A1,-1.73850221178034,-2.60775331767051
DHRS7,-1.73842260386918,-2.60763390580377
ARIH2,1.73830817837515,2.60746226756272
FASTKD3,1.73802231601073,2.6070334740161
RAD21,1.73666310462678,2.60499465694017
TIMMDC1,-1.73437601860034,-2.60156402790051
ZFP2,-1.73396932106662,-2.60095398159993
GCAT,1.73320518413785,2.59980777620678
OSGIN2,-1.73285644205246,-2.59928466307869
PGBD1,1.73189006790325,2.59783510185488
HSPB8,-1.73056939612147,-2.59585409418221
TTC5,-1.73048209378542,-2.59572314067813
FOXL1,-1.66494796782287,-2.4974219517343
TGIF2,-1.72748355638003,-2.59122533457005
TPST1,1.72730245076808,2.59095367615212
BLM,1.72687319619495,2.59030979429243
GGCT,1.72653035414541,2.58979553121811
ARHGAP11A,1.72645516844458,2.58968275266687
CPPED1,1.72638745173543,2.58958117760314
MYL6,-1.7249889920772,-2.5874834881158
KLHL22,-1.72446293682162,-2.58669440523243
CHCHD4,1.72351998436768,2.58527997655152
GSTO2,-1.72346753543978,-2.58520130315967
KCTD15,-1.72325792628304,-2.58488688942456
PATJ,-1.72316915855284,-2.58475373782926
FKBP9,-1.72295815952927,-2.58443723929391
NCAPH2,1.72188679708703,2.58283019563055
C12orf73,-1.72115898046711,-2.58173847070066
MARS2,1.72111834870193,2.58167752305289
ST3GAL1,-1.71984759833122,-2.57977139749683
TTLL9,-1.65507085492738,-2.48260628239107
PLPP5,-1.71844739330199,-2.57767108995299
TYK2,-1.71838142584563,-2.57757213876845
MORF4L2,-1.7179913189281,-2.57698697839215
WDTC1,-1.71713254509528,-2.57569881764292
SLC39A7,-1.71559948775573,-2.57339923163359
RCCD1,1.71492975104769,2.57239462657154
TBL2,1.714110887432,2.571166331148
SYNE1,-1.71328257058842,-2.56992385588263
TMSB4X,-1.7130880613746,-2.5696320920619
HENMT1,-1.71308166806031,-2.56962250209047
TUSC2,1.71300841431565,2.56951262147347
MRPS33,-1.71291947370117,-2.56937921055175
RNF32,-1.71284947323685,-2.56927420985527
SRGAP2,1.71236787510865,2.56855181266297
TTC3,-1.71236168794207,-2.5685425319131
GLRX2,1.71194912839384,2.56792369259076
H2BC15,-1.71099406987435,-2.56649110481152
B4GAT1,-1.71064697152583,-2.56597045728874
SOCS6,1.70912774270329,2.56369161405494
FBXO36,-1.70827894102997,-2.56241841154495
GRN,-1.70713412196842,-2.56070118295263
TRMT2A,1.70694040278682,2.56041060418023
ABCD1,1.70677145543,2.560157183145
MT-ND1,-1.70669902290571,-2.56004853435857
MORC4,-1.70622688119463,-2.55934032179194
ARHGEF9,-1.7054307709969,-2.55814615649535
ERGIC3,-1.70528075065132,-2.55792112597698
DPY19L1,-1.70407240862477,-2.55610861293716
CD302,-1.70393561238951,-2.55590341858426
SLC26A11,-1.70336749566971,-2.55505124350457
ENPP4,-1.70330414062597,-2.55495621093895
AP1G1,-1.70329013965526,-2.55493520948289
ENOSF1,1.70310615827234,2.55465923740851
CDYL,1.70287708191215,2.55431562286822
PTPRG,1.70284890282565,2.55427335423847
TIMM17B,-1.7027551187762,-2.5541326781643
STX18,1.70273055269393,2.55409582904089
TRIM38,1.70230055926844,2.55345083890266
C1orf50,-1.70164796448189,-2.55247194672283
RBMX,1.70148439550227,2.55222659325341
TENT5B,1.70130103467677,2.55195155201516
ARHGAP5,1.70043915306249,2.55065872959374
SQSTM1,1.70039352016332,2.55059028024498
MYL6B,-1.70006426410895,-2.55009639616343
CCM2,1.69978739081182,2.54968108621773
ZWILCH,1.69974294415864,2.54961441623796
ETV7,1.63439423476652,2.45159135214978
SMC5,1.69963066122585,2.54944599183878
NCSTN,-1.69936927032736,-2.54905390549104
BANP,-1.69891341796573,-2.54837012694859
NLRX1,-1.69849429023933,-2.547741435359
RNF145,1.69837845052538,2.54756767578807
PHETA1,1.63296558151668,2.44944837227502
HSDL2,1.69827562262549,2.54741343393824
APOBEC3F,-1.69812497187611,-2.54718745781416
C18orf25,1.69739819636365,2.54609729454547
GSTZ1,-1.69673025902483,-2.54509538853724
CYB561D1,-1.69646222726543,-2.54469334089814
RTP4,1.69625466638564,2.54438199957846
KLHDC3,1.69498621579811,2.54247932369716
NEU3,1.69494578791365,2.54241868187048
DMAC1,-1.69445129895735,-2.54167694843602
STEAP1B,-1.69416582467659,-2.54124873701489
GRK2,1.69416260997907,2.54124391496861
WDFY1,-1.69384703699207,-2.54077055548811
FANK1,-1.69373711307322,-2.54060566960983
HOMER2,1.69325882011864,2.53988823017796
C12orf56,1.62753263672494,2.44129895508741
MTERF4,-1.69300410940496,-2.53950616410744
CHIC1,-1.69287183705667,-2.53930775558501
PIP4K2C,-1.69258232819376,-2.53887349229064
KLF13,-1.69253945608628,-2.53880918412942
TMEM123,1.69117928857531,2.53676893286297
CCM2L,1.62537334782188,2.43806002173282
IFRD2,1.69038519512429,2.53557779268644
PDCD7,1.69027068092416,2.53540602138624
ZNF91,-1.69024362064159,-2.53536543096238
PROCA1,1.68999307050418,2.53498960575627
MND1,1.68944019301001,2.53416028951502
MRTO4,1.68943197190381,2.53414795785572
ANKMY2,-1.68904371734735,-2.53356557602102
SUMF2,-1.68828948950639,-2.53243423425958
ZNF512,-1.68828253381257,-2.53242380071885
NEK2,1.68751801762062,2.53127702643093
HIST2H2BE,-1.68728136637257,-2.53092204955886
ANAPC13,-1.68721509658175,-2.53082264487263
TRPS1,1.68702923278263,2.53054384917395
PRPF4B,1.68701642015784,2.53052463023676
MDN1,1.68693513610632,2.53040270415948
IFT140,1.68639799797701,2.52959699696552
CLIP1,-1.68581202162579,-2.52871803243869
RBM41,-1.68577890454293,-2.52866835681439
PEG10,1.68545659186356,2.52818488779534
PRKD1,-1.68451052059897,-2.52676578089846
KIF18A,1.68446478017224,2.52669717025836
PRPF39,1.68374159072133,2.525612386082
PITPNM2,-1.68342042327088,-2.52513063490632
NMD3,-1.68265353148849,-2.52398029723274
PSMD10,-1.68230585229624,-2.52345877844436
SH3GL1,1.68214807485043,2.52322211227565
PPIF,1.68193264803549,2.52289897205323
DECR1,-1.68174981416199,-2.52262472124298
WWTR1,1.68171920733911,2.52257881100866
RAB35,1.68115316321968,2.52172974482952
DUSP23,-1.68017042203683,-2.52025563305525
MAP3K3,1.67907716883618,2.51861575325427
TMEM98,-1.67859299580997,-2.51788949371495
SKA1,1.67857875354199,2.51786813031299
ZNF81,-1.67755346440968,-2.51633019661452
HSD17B10,-1.6769619717459,-2.51544295761885
FUT8,-1.67623832655388,-2.51435748983082
HMGN5,-1.67593889770319,-2.51390834655478
CEP112,1.67579689652852,2.51369534479278
SINHCAF,1.67551641519954,2.51327462279931
KCTD1,-1.67454238199894,-2.51181357299841
TFAP2C,1.67381697553988,2.51072546330982
BAZ1A,1.67345862305119,2.51018793457679
PPAT,1.6729404681593,2.50941070223895
SARNP,1.67293500169427,2.5094025025414
SLC35B3,-1.67275447585413,-2.5091317137812
NOTCH2NLA,1.67256038213384,2.50884057320076
PSMG1,1.67194152941112,2.50791229411668
SLC39A13,-1.67163496996687,-2.5074524549503
C1orf159,1.6715833961502,2.5073750942253
PDE10A,1.67100593900277,2.50650890850416
CCL5,1.67063968906657,2.50595953359985
TESK2,1.67045588103557,2.50568382155336
SYT11,-1.66956648272438,-2.50434972408657
FNBP1L,-1.66954352665386,-2.50431528998079
MMP24,-1.66947498330172,-2.50421247495258
RCN3,-1.6687449728733,-2.50311745930995
GABPB1,1.66858754204133,2.502881313062
GJA9,-1.66832016891469,-2.50248025337204
TRIM52,-1.66821693782361,-2.50232540673542
NES,1.66700600958449,2.50050901437674
GAREM1,-1.66690187090258,-2.50035280635387
RYK,1.66674333735156,2.50011500602734
OGFOD3,1.66628555770464,2.49942833655696
CDK5R1,1.59894926589216,2.39842389883824
ANKRD27,1.66582541856783,2.49873812785175
SRGAP2B,1.66569303668943,2.49853955503414
LURAP1,1.66506651456893,2.4975997718534
GCLM,1.66477881036466,2.49716821554699
IFT46,-1.66473022257342,-2.49709533386013
ZNF747,-1.66436471709182,-2.49654707563773
CORO6,-1.54074823672023,-2.31112235508035
PRRC2A,1.66388390440987,2.49582585661481
ALG11,-1.66351053393655,-2.49526580090482
SOD2,1.66326400322145,2.49489600483218
PANK2,-1.66306512169121,-2.49459768253682
HJURP,1.66302071911202,2.49453107866803
ARHGEF26,1.66275614447832,2.49413421671748
EIF3D,1.66272521923734,2.49408782885601
SPATA5,1.66230537239808,2.49345805859712
GLIPR1L2,-1.66166277725284,-2.49249416587926
MX1,1.66165203039336,2.49247804559004
EEF1AKMT2,1.66160950421156,2.49241425631734
CDH18,1.66132146666885,2.49198220000327
FUS,1.66105016072755,2.49157524109133
HIST3H2A,-1.66086027687852,-2.49129041531778
PRKAA2,-1.66075265285452,-2.49112897928178
NIPSNAP3A,-1.66046402171321,-2.49069603256982
TEX30,1.65964158451863,2.48946237677795
CAPN15,1.59153723149998,2.38730584724997
AOPEP,-1.65911986134904,-2.48867979202356
SENP2,-1.65884883972062,-2.48827325958093
TMCC1,-1.65835406715892,-2.48753110073838
TNFSF10,-1.53360431818013,-2.3004064772702
NAA20,-1.65677486347179,-2.48516229520768
SORBS1,-1.65633430703277,-2.48450146054916
R3HDM2,-1.65627769594922,-2.48441654392383
NSUN3,-1.6560056228001,-2.48400843420015
ANKRD36B,1.65598696718713,2.48398045078069
B3GNT4,-1.58789932569497,-2.38184898854246
SRSF3,1.65476127599251,2.48214191398877
SRD5A1,1.65401577575837,2.48102366363756
ATP6V0D1,-1.65378464873106,-2.48067697309659
THYN1,-1.65280541877703,-2.47920812816555
TRIM14,1.65277330245405,2.47915995368108
RRP7A,1.65246569677854,2.47869854516781
LSG1,1.65243790173687,2.4786568526053
QDPR,-1.65231563699721,-2.47847345549581
THRA,-1.52694228544165,-2.29041342816247
H1-2,-1.65100094849725,-2.47650142274588
IGF1R,-1.65094777437928,-2.47642166156892
PYGO1,-1.65087594163522,-2.47631391245283
CDK2,1.64960320523915,2.47440480785873
C19orf25,-1.64914028906863,-2.47371043360295
RBP7,-1.6484190221434,-2.4726285332151
RABEPK,1.6467926290473,2.47018894357095
TTLL4,1.6466317974425,2.46994769616375
KCTD5,1.64638007603979,2.46957011405968
BTBD7,-1.64609538711166,-2.46914308066749
MRFAP1,-1.64593443724375,-2.46890165586563
CAPRIN2,-1.64506227474404,-2.46759341211606
PIAS2,1.64457254354798,2.46685881532197
FAM126B,1.64423434226182,2.46635151339273
VWDE,-1.64272246327954,-2.46408369491931
CAB39,1.64205401148485,2.46308101722728
GRB7,1.57157679501056,2.35736519251584
SENP5,1.64022321122462,2.46033481683693
FAM160B1,-1.63962113552555,-2.45943170328833
RBBP8,1.63907238253476,2.45860857380214
SUOX,-1.63837538556675,-2.45756307835012
PACS2,-1.63808855025083,-2.45713282537625
MAP3K9,1.63778047269784,2.45667070904676
HDGF,1.63765546095779,2.45648319143669
SELENOS,1.63765337117672,2.45648005676508
ELMSAN1,-1.63716327053534,-2.45574490580301
ZNF613,-1.63702314024886,-2.45553471037329
CASP7,-1.63687539077274,-2.45531308615911
SCNN1B,1.63568243327376,2.45352364991064
FAM3A,1.6339217371148,2.4508826056722
UFSP2,-1.63381428191615,-2.45072142287423
SHTN1,-1.63359906454461,-2.45039859681691
GNS,-1.63350583589058,-2.45025875383587
PLEKHF2,1.63328245451311,2.44992368176966
PLPP3,-1.5637502455136,-2.3456253682704
SMARCB1,1.63292228381184,2.44938342571776
FBXO34,1.63288813750802,2.44933220626203
INTS1,1.63232726303631,2.44849089455446
ADAMTSL5,1.63204285146625,2.44806427719938
HMGXB4,1.63138248329546,2.44707372494319
CENPU,1.63116031006067,2.446740465091
DDIT4,1.6305482921856,2.4458224382784
NINL,1.63032345222509,2.44548517833764
TMEM127,-1.62748190020489,-2.44122285030733
GATM,-1.62733831275308,-2.44100746912962
SCAF4,1.62631518529605,2.43947277794407
SLC52A2,1.62630638275951,2.43945957413926
PTMA,1.62615493972532,2.43923240958798
GNB1L,1.62588727183564,2.43883090775346
CA11,-1.62558574754935,-2.43837862132403
RAD51AP1,1.62520610928484,2.43780916392726
DHX37,1.62405183196638,2.43607774794957
SLC16A14,-1.62326660416248,-2.43489990624372
L3MBTL3,-1.62297852778861,-2.43446779168291
TMEM225B,-1.49418241507297,-2.24127362260945
STXBP4,-1.62278984187099,-2.43418476280649
RUNX1,1.62234823191216,2.43352234786824
SH2D4A,1.62175732545902,2.43263598818853
METTL5,-1.62148887355033,-2.43223331032549
XPR1,1.62130206800081,2.43195310200121
BYSL,1.62077884899516,2.43116827349274
FAM131A,1.62037119205178,2.43055678807767
STRADA,-1.61972227266186,-2.42958340899279
CBR4,-1.61942341368589,-2.42913512052883
UBA5,-1.61898615293726,-2.42847922940589
PIK3C2B,-1.61792681932943,-2.42689022899415
ZNF26,1.61764824155109,2.42647236232663
TSR3,1.61729983759358,2.42594975639037
B2M,-1.61656546469793,-2.4248481970469
TRRAP,1.61651505728314,2.42477258592471
MCUR1,1.61539287594867,2.423089313923
DAD1,-1.61528306663836,-2.42292459995754
GATA5,1.61347140365659,2.42020710548489
XRCC3,1.61337688952419,2.42006533428629
ZNF45,-1.61287106106139,-2.41930659159209
RSRC2,1.61280007116351,2.41920010674527
PIP4P2,1.61275637162286,2.41913455743429
PHF11,1.61257682312269,2.41886523468404
ICAM4,-1.61210934211991,-2.41816401317987
GAS8,1.6116871683839,2.41753075257585
RHBDF2,1.61155809257523,2.41733713886285
PCDHA11,-1.61137499147909,-2.41706248721863
ZFYVE27,1.61024846129594,2.41537269194391
CUL4A,1.60965522217595,2.41448283326392
NAXE,-1.60948903885452,-2.41423355828178
CCDC159,-1.60945007971082,-2.41417511956623
WDR36,1.60944659764221,2.41416989646332
NRP2,1.53872727184221,2.30809090776332
KBTBD2,1.60939715466586,2.41409573199879
CMTM3,-1.60856460677637,-2.41284691016455
SNCA,1.60844663361862,2.41266995042793
PIK3CA,1.60745948515433,2.4111892277315
PCMT1,1.60734198340208,2.41101297510312
SEH1L,1.60733855289662,2.41100782934493
PRAG1,1.60726296200409,2.41089444300613
CAPG,-1.60713118002273,-2.41069677003409
MAP4,1.60711728760496,2.41067593140744
RBM10,1.60671361561165,2.41007042341748
LYSMD1,-1.60586360934346,-2.40879541401519
PRXL2B,-1.60484396885524,-2.40726595328286
ANP32E,1.60468339508988,2.40702509263482
GLA,1.60443683392231,2.40665525088346
SNRK,1.60420780124476,2.40631170186714
OAS2,1.60404171160226,2.40606256740339
TIMM10,1.60388905172968,2.40583357759452
FAM149B1,1.60363322804327,2.4054498420649
ICOSLG,1.60224765802223,2.40337148703335
ENTPD4,-1.60171498399895,-2.40257247599842
CCDC151,-1.53014183175067,-2.295212747626
EMC10,-1.60127241495945,-2.40190862243918
SHROOM3,1.53004395073278,2.29506592609917
SETD6,1.60105923271085,2.40158884906627
PSME1,1.60081937641479,2.40122906462218
FBXW9,1.5998972598568,2.3998458897852
PDE8A,1.59967833623867,2.39951750435801
SNX16,1.59966877675245,2.39950316512867
RNF5,1.59955470231821,2.39933205347731
PFDN6,1.59837342675574,2.39756014013361
SYPL1,1.5982938934207,2.39744084013105
TKT,1.59795949177746,2.39693923766619
C12orf49,-1.59776244300908,-2.39664366451362
PVR,1.5964231807113,2.39463477106695
TSFM,1.59621047148403,2.39431570722605
GAS6,1.52448393609652,2.28672590414478
MAGEF1,-1.59576869548142,-2.39365304322213
EIF2AK3,-1.5955395687792,-2.3933093531688
PLCH2,-1.46296812090645,-2.19445218135967
MAPK13,-1.59480318302685,-2.39220477454028
ZNF396,-1.5941416044305,-2.39121240664575
GCLC,-1.5935664166685,-2.39034962500275
HOXC10,-1.59337723013852,-2.39006584520778
MAGOHB,1.59327305720323,2.38990958580484
HADHB,-1.59304711977368,-2.38957067966052
FAM120B,-1.59302389055299,-2.38953583582949
GLTP,-1.59270591268925,-2.38905886903387
RAB5IF,1.45900702518096,2.18851053777144
HERC1,-1.59140117211346,-2.38710175817019
SIVA1,1.59128539175628,2.38692808763442
GABARAPL1,-1.59103116215626,-2.38654674323439
YY1AP1,1.59076346380193,2.38614519570289
HMGXB3,1.58965488877473,2.3844823331621
TP53I11,-1.58929134119214,-2.38393701178821
RALB,1.58844451612343,2.38266677418514
BBS4,-1.58763589210808,-2.38145383816212
HCFC1R1,-1.58706546319011,-2.38059819478516
PAM16,1.58666716967842,2.38000075451763
SPSB1,1.58579872977235,2.37869809465852
DEPDC1,1.5855075879329,2.37826138189935
ACOT7,1.58480825253493,2.37721237880239
AK4,1.58460813859081,2.37691220788621
ZNF214,-1.58456386528054,-2.37684579792081
PUS7L,-1.58449207015646,-2.37673810523469
SASS6,1.58424195605978,2.37636293408967
LMNA,1.58422777650478,2.37634166475717
CHST11,1.58408277053981,2.37612415580971
B3GNT7,-1.5834292763408,-2.3751439145112
ZNF518A,-1.58332950189796,-2.37499425284694
AKIRIN1,-1.58278841354557,-2.37418262031836
CDCA4,1.58265965936397,2.37398948904595
TOMM40,1.58208726601301,2.37313089901952
TMX4,-1.58092186200768,-2.37138279301152
SLC30A1,1.58069747781961,2.37104621672941
ARHGAP26,1.57990328678926,2.36985493018389
ANKRD39,1.57978163274458,2.36967244911687
TBC1D9,-1.57950447093484,-2.36925670640226
GON7,-1.57949356568261,-2.36924034852392
SERPINH1,-1.5788770004849,-2.36831550072735
SNRPC,1.57881281083924,2.36821921625886
ASB6,1.57711525152768,2.36567287729152
CKAP2,1.57693864893996,2.36540797340994
XPOT,1.57583337028013,2.3637500554202
MAST2,1.57564156649099,2.36346234973648
CREBBP,-1.57546226806464,-2.36319340209696
HMGN1,1.57510936842126,2.36266405263189
HCST,-1.57508034463255,-2.36262051694883
NOC4L,1.57477905528111,2.36216858292167
FMNL1,1.57414482454348,2.36121723681522
DDX46,1.57324448846471,2.35986673269707
GINS4,1.57318180124631,2.35977270186946
EGLN2,1.57282144022142,2.35923216033213
TAF11,-1.57252303411669,-2.35878455117503
RASL11A,-1.57249823849007,-2.35874735773511
RALBP1,1.57215310715925,2.35822966073887
ENG,1.57137146689686,2.35705720034529
CNOT4,-1.57130745491917,-2.35696118237875
RECQL,1.57048097225033,2.35572145837549
SLC23A2,-1.57040839053454,-2.35561258580181
SLC12A5,-1.57030546157322,-2.35545819235983
VARS2,-1.57024852362734,-2.35537278544101
KLF11,1.5697052541831,2.35455788127465
RAP2A,-1.56953859523114,-2.35430789284671
NGEF,1.56777369259077,2.35166053888616
DYRK2,-1.56747504847719,-2.35121257271578
TMTC3,-1.56672445712395,-2.35008668568593
TPPP,-1.49288278801329,-2.23932418201993
CCDC88B,-1.56602349344192,-2.34903524016288
TXNDC11,-1.56563917031615,-2.34845875547423
CMPK1,1.56423200038462,2.34634800057693
ABCC3,-1.56411530602162,-2.34617295903243
ACYP1,1.56366719030407,2.3455007854561
TAF4B,1.56359244098938,2.34538866148407
HPCAL1,1.56236321280412,2.34354481920618
TSACC,-1.56198309136506,-2.34297463704759
FOS,-1.56166646052449,-2.34249969078674
NDUFAF2,1.56137834629833,2.34206751944749
NPIPB4,1.5613024231382,2.3419536347073
ACADS,-1.56067668623755,-2.34101502935632
GPT2,1.55911953229403,2.33867929844105
YWHAQ,1.55903504218112,2.33855256327168
NOB1,1.55871064956662,2.33806597434993
TOX4,-1.55861147482248,-2.33791721223372
OSBPL10,-1.55839497385702,-2.33759246078553
LSM14A,1.55830382083289,2.33745573124934
AADAT,-1.55800569981866,-2.33700854972799
PADI2,-1.55797222052271,-2.33695833078407
ACOT2,1.55794580714619,2.33691871071929
DPAGT1,-1.5575048839238,-2.3362573258857
ACOX2,-1.55695420547836,-2.33543130821754
FLOT2,-1.55660608735224,-2.33490913102836
ZNF442,1.55645765428069,2.33468648142104
KLHL42,-1.55629263075127,-2.3344389461269
RBM3,1.55525898846417,2.33288848269626
INTS10,-1.55497708410299,-2.33246562615448
ITPR3,1.55470438972114,2.33205658458171
ANKRD11,1.55424554255978,2.33136831383967
ARMCX3,-1.55419275088124,-2.33128912632186
ARHGEF12,-1.55374181100188,-2.33061271650282
ALG5,-1.5532515563149,-2.32987733447235
CASP6,-1.55299468012436,-2.32949202018654
NOL11,1.55297056717356,2.32945585076034
WLS,-1.55242379127431,-2.32863568691146
AHR,-1.55185029149819,-2.32777543724728
TSPAN13,-1.55117268200909,-2.32675902301364
RNF20,-1.55115498093776,-2.32673247140664
CIRBP,-1.54970733131232,-2.32456099696848
SPPL2A,1.54960999311029,2.32441498966543
UHRF2,1.54898508823113,2.3234776323467
SOX4,-1.54893649373792,-2.32340474060688
CCNO,1.54824775118712,2.32237162678068
CCNQ,1.54815831373952,2.32223747060928
FBXO6,-1.54812311406003,-2.32218467109004
COPS6,1.54728482552243,2.32092723828364
TPR,1.54653483536535,2.31980225304803
C19orf54,-1.54649771025449,-2.31974656538173
PIGS,-1.5462794495852,-2.3194191743778
BCL3,1.54601329924024,2.31901994886036
SH3BGRL3,-1.5454109700977,-2.31811645514655
ATMIN,-1.54534133130914,-2.31801199696371
COX15,-1.54500786633533,-2.317511799503
PURB,1.54489346408884,2.31734019613326
BPGM,-1.54446955725914,-2.31670433588871
FAR1,1.54440078122671,2.31660117184007
NSMF,1.54431531069762,2.31647296604643
ABHD6,-1.54344643533207,-2.3151696529981
PPM1G,1.5430559853195,2.31458397797925
VPS28,-1.54268245077676,-2.31402367616514
SLC4A1AP,-1.54150840353901,-2.31226260530851
SAFB,1.5411454706459,2.31171820596885
ASGR1,-1.46618560418225,-2.19927840627338
ANTKMT,-1.5390303832203,-2.30854557483045
ARFGAP3,-1.53847826114512,-2.30771739171768
TGFBR2,-1.53808281086623,-2.30712421629935
TAF1C,1.53729446626205,2.30594169939307
SPTY2D1,-1.53679206393419,-2.30518809590129
IL18,1.53672684861818,2.30509027292727
ZNF764,1.53601119459922,2.30401679189883
MRPS10,-1.53589333234079,-2.30383999851118
ZNF641,-1.53587008368975,-2.30380512553463
MT-ND5,-1.53569562861034,-2.30354344291551
TRIM23,-1.53531927279368,-2.30297890919052
SLC2A10,-1.39579741147795,-2.09369611721692
DNM2,1.53491971587043,2.30237957380564
HPDL,1.459130126881,2.1886951903215
FAM216A,1.53421075569959,2.30131613354939
POLR2C,-1.53413027916808,-2.30119541875212
MED25,1.53398132030135,2.30097198045203
USP12,-1.53325144902378,-2.29987717353567
PIGC,-1.53277646544893,-2.29916469817339
PPCS,-1.53144048114799,-2.29716072172199
CD276,1.53141505599769,2.29712258399654
TAF1A,1.53113833693367,2.29670750540051
CENPW,1.53082429624185,2.29623644436277
SNRPD1,1.5306766707048,2.2960150060572
ZFP64,-1.53052932835779,-2.29579399253669
UBE3C,1.52964848617752,2.29447272926628
VAPB,-1.52893582634637,-2.29340373951956
CENPH,1.52875324833271,2.29312987249906
TERF2,-1.52872933055484,-2.29309399583226
C19orf47,1.52827697799041,2.29241546698561
ATG10,-1.52814519906417,-2.29221779859625
MAGEH1,-1.52745166676451,-2.29117750014677
THEMIS2,-1.52715405664017,-2.29073108496025
ULBP2,-1.52585666871808,-2.28878500307712
SEPTIN5,-1.5256687445312,-2.2885031167968
LATS2,-1.52519873541636,-2.28779810312454
PATL1,1.52492015816685,2.28738023725027
HEY1,-1.52491051249993,-2.2873657687499
NAA15,1.52458791909569,2.28688187864353
ATPSCKMT,-1.52448212487191,-2.28672318730787
PANK1,1.52373211259689,2.28559816889533
CHD9,1.52371325899971,2.28556988849957
PRPF38B,1.52358095853916,2.28537143780874
ATP6V1H,-1.52316497650928,-2.28474746476392
NMB,1.52280633327027,2.2842094999054
WASHC2C,1.52147548510192,2.28221322765288
SEC24B,1.52100957091182,2.28151435636773
NAV1,1.52033964975614,2.28050947463421
RHOD,-1.52027935566849,-2.28041903350274
CDK19,1.51993876259554,2.27990814389331
GLDC,1.44378479816705,2.16567719725058
GAR1,1.51980965518101,2.27971448277152
SGSM3,1.51958555972862,2.27937833959293
ZNF24,-1.5193848133319,-2.27907721999785
NDUFA13,-1.51935552893771,-2.27903329340656
HAUS2,1.51919496392517,2.27879244588776
HSDL1,-1.51858696905482,-2.27788045358223
NEK11,-1.51850422788011,-2.27775634182017
UBTD1,1.51840920280674,2.27761380421011
TRPC4AP,-1.51798542950074,-2.27697814425111
AEN,1.51721111013518,2.27581666520277
WASL,-1.51613068538312,-2.27419602807468
BRAT1,1.5158445068602,2.2737667602903
C1orf122,-1.51553620234908,-2.27330430352362
CNPY4,-1.51533151366409,-2.27299727049613
ACAD11,-1.51507550785009,-2.27261326177513
RAB2B,-1.51502667576174,-2.27254001364261
MPHOSPH6,-1.51489124098345,-2.27233686147517
ZNF268,-1.51480583186294,-2.27220874779441
BAZ2B,-1.51468566595348,-2.27202849893022
LIF,1.51436995894684,2.27155493842026
TTC30B,-1.51421392451891,-2.27132088677836
MAP2K5,-1.51413662244204,-2.27120493366306
NUDT1,1.51392732854397,2.27089099281596
PANX1,1.51357964144171,2.27036946216256
AP1AR,1.51357944608501,2.27036916912752
GUK1,1.51276297219767,2.26914445829651
CREB3L2,-1.51260224844951,-2.26890337267427
TSTD1,-1.51222381557926,-2.26833572336889
DARS2,1.51198465090438,2.26797697635657
SAMD9L,1.36869516153307,2.0530427422996
STAM2,-1.51113031581182,-2.26669547371773
RAF1,1.51045800314306,2.26568700471459
COMMD3,-1.51040144361802,-2.26560216542703
MRPS25,1.51032044315905,2.26548066473858
NUP50,1.50934672843374,2.26402009265061
TRIM35,-1.50878268742506,-2.26317403113759
ZNF277,1.50842974322564,2.26264461483846
