genesymbol	geneset
SLC2A3	TBK1.DF_UP
SLC2A3	PRC2_EZH2_UP.V1_UP
YRDC	IL15_UP.V1_UP
YRDC	IL2_UP.V1_UP
YRDC	MTOR_UP.N4.V1_UP
YRDC	PRC2_EZH2_UP.V1_UP
CEBPB	PDGF_ERK_DN.V1_DN
CEBPB	CRX_DN.V1_DN
CEBPB	BCAT_GDS748_UP
CEBPB	MTOR_UP.N4.V1_UP
PNRC1	PDGF_ERK_DN.V1_DN
PNRC1	ERBB2_UP.V1_UP
PNRC1	MTOR_UP.N4.V1_DN
PNRC1	IL2_UP.V1_DN
PNRC1	LTE2_UP.V1_UP
PNRC1	IL15_UP.V1_DN
CCNA2	P53_DN.V1_UP
CCNA2	EGFR_UP.V1_UP
CCNA2	CORDENONSI_YAP_CONSERVED_SIGNATURE
CCNA2	NRL_DN.V1_UP
CCNA2	ESC_V6.5_UP_EARLY.V1_DN
CCNA2	ESC_J1_UP_EARLY.V1_DN
CCNA2	ESC_J1_UP_LATE.V1_UP
PANX1	CSR_EARLY_UP.V1_UP
PANX1	PDGF_UP.V1_UP
PANX1	BMI1_DN.V1_UP
PANX1	STK33_UP
PANX1	SNF5_DN.V1_DN
PANX1	STK33_NOMO_UP
EGR2	PRC1_BMI_UP.V1_UP
EGR2	IL2_UP.V1_UP
EGR2	LEF1_UP.V1_UP
EGR2	STK33_NOMO_UP
EGR2	SNF5_DN.V1_UP
EGR2	IL21_UP.V1_UP
EGR2	E2F3_UP.V1_UP
EGR2	IL15_UP.V1_UP
EGR2	STK33_UP
F2RL1	MEK_UP.V1_UP
F2RL1	ESC_V6.5_UP_EARLY.V1_DN
F2RL1	TGFB_UP.V1_UP
F2RL1	EGFR_UP.V1_UP
F2RL1	PRC2_EZH2_UP.V1_UP
F2RL1	RB_DN.V1_DN
MYC	PDGF_ERK_DN.V1_DN
MYC	ERBB2_UP.V1_DN
MYC	MTOR_UP.V1_DN
MYC	ESC_J1_UP_EARLY.V1_DN
MYC	ESC_V6.5_UP_LATE.V1_DN
MYC	RB_DN.V1_UP
MYC	MEK_UP.V1_DN
MYC	ESC_J1_UP_LATE.V1_DN
MYC	CAMP_UP.V1_UP
MYC	E2F1_UP.V1_DN
BTG1	PDGF_ERK_DN.V1_DN
BTG1	CAHOY_ASTROCYTIC
BTG1	LTE2_UP.V1_UP
BTG1	TBK1.DF_UP
BTG1	CYCLIN_D1_UP.V1_DN
PFKFB3	PDGF_UP.V1_UP
PFKFB3	TGFB_UP.V1_UP
MARCKS	P53_DN.V1_UP
MARCKS	RPS14_DN.V1_UP
MARCKS	LTE2_UP.V1_UP
MARCKS	STK33_SKM_DN
MARCKS	CORDENONSI_YAP_CONSERVED_SIGNATURE
PLAU	MEK_UP.V1_UP
PLAU	STK33_SKM_UP
PLAU	TBK1.DF_UP
PLAU	PKCA_DN.V1_DN
PLAU	PTEN_DN.V2_UP
PLAU	EIF4E_DN
PLAU	ESC_V6.5_UP_EARLY.V1_DN
PLAU	ATF2_UP.V1_UP
PLAU	P53_DN.V1_UP
PLAU	KRAS.DF.V1_UP
PLAU	RPS14_DN.V1_UP
PLAU	KRAS.600_UP.V1_UP
PLAU	ATF2_S_UP.V1_UP
PLAU	STK33_UP
PLAU	STK33_NOMO_UP
NFKB2	VEGF_A_UP.V1_UP
NFKB2	PGF_UP.V1_DN
NFKB2	AKT_UP_MTOR_DN.V1_UP
NFKB2	EGFR_UP.V1_UP
IFNGR2	CYCLIN_D1_UP.V1_DN
MAP3K8	CRX_DN.V1_DN
MAP3K8	STK33_NOMO_UP
SDC4	P53_DN.V2_UP
SDC4	P53_DN.V1_UP
SDC4	RPS14_DN.V1_UP
SDC4	CRX_NRL_DN.V1_DN
SDC4	VEGF_A_UP.V1_UP
SDC4	STK33_NOMO_UP
SDC4	WNT_UP.V1_UP
SDC4	PGF_UP.V1_DN
PHLDA2	SRC_UP.V1_DN
PHLDA2	PDGF_ERK_DN.V1_UP
PHLDA2	ESC_J1_UP_LATE.V1_DN
PHLDA2	BCAT_GDS748_UP
PHLDA2	AKT_UP_MTOR_DN.V1_DN
ZFP36	CAMP_UP.V1_DN
ZFP36	ESC_J1_UP_EARLY.V1_DN
ZFP36	STK33_NOMO_UP
ZFP36	STK33_SKM_UP
ZFP36	RELA_DN.V1_UP
ZFP36	STK33_UP
SAT1	ERBB2_UP.V1_UP
SAT1	GCNP_SHH_UP_LATE.V1_DN
SAT1	EGFR_UP.V1_UP
SAT1	VEGF_A_UP.V1_DN
SAT1	PGF_UP.V1_UP
SAT1	RAF_UP.V1_UP
ID2	RAF_UP.V1_DN
ID2	TGFB_UP.V1_DN
ID2	CAMP_UP.V1_DN
ID2	ERBB2_UP.V1_DN
ID2	EGFR_UP.V1_DN
ID2	VEGF_A_UP.V1_UP
ID2	MTOR_UP.V1_DN
ID2	BMI1_DN_MEL18_DN.V1_DN
ID2	SNF5_DN.V1_UP
ID2	MEK_UP.V1_DN
ID2	ESC_J1_UP_LATE.V1_UP
ID2	MEL18_DN.V1_DN
ID2	GCNP_SHH_UP_EARLY.V1_DN
ID2	KRAS.600.LUNG.BREAST_UP.V1_UP
ID2	KRAS.LUNG.BREAST_UP.V1_UP
IER2	RB_DN.V1_UP
IER2	GCNP_SHH_UP_EARLY.V1_DN
FOSL2	P53_DN.V2_UP
FOSL2	IL2_UP.V1_UP
FOSL2	PRC2_EZH2_UP.V1_DN
FOSL2	PRC2_EED_UP.V1_DN
FOSL2	CYCLIN_D1_KE_.V1_UP
MSC	KRAS.KIDNEY_UP.V1_DN
MSC	PTEN_DN.V1_UP
MSC	PKCA_DN.V1_DN
MSC	ESC_V6.5_UP_LATE.V1_DN
CEBPD	CRX_DN.V1_DN
CEBPD	ESC_J1_UP_EARLY.V1_DN
CEBPD	EGFR_UP.V1_UP
CEBPD	CYCLIN_D1_UP.V1_UP
CEBPD	RAF_UP.V1_UP
CEBPD	CYCLIN_D1_KE_.V1_UP
CEBPD	SIRNA_EIF4GI_UP
TNFAIP2	NRL_DN.V1_UP
TNFAIP2	RPS14_DN.V1_UP
TNFAIP2	IL15_UP.V1_DN
TNFAIP2	MYC_UP.V1_DN
TNFAIP2	STK33_SKM_UP
TNFAIP2	TBK1.DF_UP
TNFAIP2	RAPA_EARLY_UP.V1_UP
TNFAIP2	HINATA_NFKB_IMMU_INF
TNFAIP2	IL2_UP.V1_DN
PDLIM5	BMI1_DN_MEL18_DN.V1_DN
PDLIM5	MEL18_DN.V1_DN
PDLIM5	CSR_LATE_UP.V1_UP
PDLIM5	SNF5_DN.V1_DN
SMAD3	RPS14_DN.V1_UP
EGR1	PDGF_ERK_DN.V1_DN
EGR1	CRX_DN.V1_DN
EGR1	IL2_UP.V1_UP
EGR1	CRX_NRL_DN.V1_DN
EGR1	PDGF_UP.V1_UP
EGR1	ESC_J1_UP_EARLY.V1_DN
EGR1	HOXA9_DN.V1_DN
EGR1	BMI1_DN.V1_DN
EGR1	STK33_SKM_UP
EGR1	ESC_J1_UP_LATE.V1_DN
EGR1	IL15_UP.V1_UP
EGR1	MEL18_DN.V1_DN
EGR1	CYCLIN_D1_UP.V1_UP
EGR1	GCNP_SHH_UP_EARLY.V1_DN
EGR1	RELA_DN.V1_UP
EGR1	STK33_UP
CD44	WNT_UP.V1_DN
CD44	CRX_DN.V1_DN
CD44	ESC_V6.5_UP_EARLY.V1_DN
CD44	PKCA_DN.V1_DN
CD44	RAF_UP.V1_UP
CD44	RB_DN.V1_DN
CXCL1	P53_DN.V2_UP
CXCL1	MEL18_DN.V1_UP
CXCL1	TGFB_UP.V1_DN
CXCL1	BMI1_DN_MEL18_DN.V1_UP
CXCL1	MTOR_UP.V1_DN
CXCL1	AKT_UP_MTOR_DN.V1_UP
CXCL1	STK33_NOMO_UP
CXCL1	WNT_UP.V1_UP
CXCL1	E2F1_UP.V1_DN
CXCL1	KRAS.DF.V1_UP
CXCL1	ATF2_S_UP.V1_UP
CXCL1	KRAS.600.LUNG.BREAST_UP.V1_UP
CXCL1	BMI1_DN.V1_UP
CXCL1	P53_DN.V1_DN
CXCL1	STK33_UP
CXCL1	KRAS.LUNG.BREAST_UP.V1_UP
INHBA	PDGF_ERK_DN.V1_UP
INHBA	MEL18_DN.V1_UP
INHBA	BMI1_DN_MEL18_DN.V1_UP
INHBA	ESC_V6.5_UP_EARLY.V1_DN
INHBA	KRAS.600_UP.V1_UP
INHBA	PDGF_UP.V1_UP
INHBA	ESC_V6.5_UP_LATE.V1_DN
INHBA	KRAS.LUNG_UP.V1_UP
INHBA	EGFR_UP.V1_UP
INHBA	CYCLIN_D1_UP.V1_DN
INHBA	KRAS.DF.V1_UP
INHBA	CSR_EARLY_UP.V1_UP
INHBA	KRAS.600.LUNG.BREAST_UP.V1_UP
INHBA	BMI1_DN.V1_UP
INHBA	KRAS.LUNG.BREAST_UP.V1_UP
BIRC2	TBK1.DN.48HRS_DN
BIRC2	P53_DN.V1_UP
BIRC2	CYCLIN_D1_KE_.V1_UP
ZC3H12A	TBK1.DF_UP
ZC3H12A	IL21_UP.V1_UP
ZC3H12A	MEL18_DN.V1_UP
ZC3H12A	ATF2_UP.V1_DN
ZC3H12A	PKCA_DN.V1_DN
ZC3H12A	BMI1_DN_MEL18_DN.V1_UP
ZC3H12A	E2F1_UP.V1_DN
ZC3H12A	NOTCH_DN.V1_DN
SERPINE1	HINATA_NFKB_MATRIX
SERPINE1	ESC_V6.5_UP_EARLY.V1_DN
SERPINE1	ESC_J1_UP_EARLY.V1_DN
SERPINE1	ESC_V6.5_UP_LATE.V1_DN
SERPINE1	LEF1_UP.V1_UP
SERPINE1	NOTCH_DN.V1_DN
SERPINE1	CAHOY_ASTROGLIAL
SERPINE1	KRAS.DF.V1_UP
SERPINE1	CORDENONSI_YAP_CONSERVED_SIGNATURE
DUSP1	PDGF_ERK_DN.V1_DN
DUSP1	MTOR_UP.V1_DN
DUSP1	AKT_UP_MTOR_DN.V1_UP
DUSP1	STK33_NOMO_UP
DUSP1	STK33_SKM_UP
DUSP1	RB_P107_DN.V1_UP
DUSP1	CORDENONSI_YAP_CONSERVED_SIGNATURE
DUSP1	STK33_UP
AREG	SINGH_KRAS_DEPENDENCY_SIGNATURE_
AREG	P53_DN.V1_UP
AREG	PDGF_UP.V1_UP
KYNU	RAF_UP.V1_DN
KYNU	ALK_DN.V1_UP
KYNU	RPS14_DN.V1_UP
KYNU	STK33_UP
KYNU	PRC2_EZH2_UP.V1_UP
KYNU	STK33_NOMO_UP
NFKBIE	SRC_UP.V1_DN
NFKBIE	TBK1.DF_UP
NFKBIE	VEGF_A_UP.V1_UP
NFKBIE	CSR_LATE_UP.V1_DN
TNIP1	EIF4E_DN
TNIP1	PRC2_EED_UP.V1_DN
CD80	GCNP_SHH_UP_LATE.V1_UP
CD80	KRAS.600_UP.V1_UP
CD80	BRCA1_DN.V1_DN
CD80	KRAS.LUNG_UP.V1_UP
CD80	CTIP_DN.V1_UP
CD80	STK33_NOMO_UP
CD80	KRAS.PROSTATE_UP.V1_UP
NINJ1	RAPA_EARLY_UP.V1_UP
NINJ1	KRAS.600.LUNG.BREAST_UP.V1_DN
NINJ1	VEGF_A_UP.V1_UP
NINJ1	KRAS.600_UP.V1_DN
NINJ1	P53_DN.V1_DN
EGR3	RAF_UP.V1_DN
EGR3	ERBB2_UP.V1_DN
EGR3	IL2_UP.V1_UP
EGR3	RPS14_DN.V1_UP
EGR3	PKCA_DN.V1_UP
EGR3	EGFR_UP.V1_DN
EGR3	PDGF_UP.V1_UP
EGR3	LEF1_UP.V1_UP
EGR3	STK33_NOMO_UP
EGR3	MEK_UP.V1_DN
EGR3	IL15_UP.V1_UP
EGR3	LTE2_UP.V1_DN
EGR3	CYCLIN_D1_KE_.V1_UP
EGR3	RELA_DN.V1_UP
EGR3	STK33_UP
FUT4	CRX_DN.V1_DN
CLCF1	P53_DN.V2_UP
CLCF1	TGFB_UP.V1_UP
ABCA1	WNT_UP.V1_DN
ABCA1	BMI1_DN_MEL18_DN.V1_UP
ABCA1	MTOR_UP.V1_DN
ABCA1	NOTCH_DN.V1_DN
ABCA1	STK33_NOMO_UP
ABCA1	BMI1_DN.V1_UP
ABCA1	STK33_UP
CDKN1A	RPS14_DN.V1_UP
CDKN1A	CYCLIN_D1_KE_.V1_UP
CDKN1A	CRX_DN.V1_DN
CDKN1A	PDGF_UP.V1_UP
CDKN1A	STK33_SKM_UP
CDKN1A	NOTCH_DN.V1_UP
CDKN1A	P53_DN.V1_DN
CDKN1A	STK33_UP
PHLDA1	VEGF_A_UP.V1_UP
PHLDA1	EGFR_UP.V1_UP
PHLDA1	STK33_NOMO_UP
PHLDA1	STK33_SKM_UP
PHLDA1	E2F1_UP.V1_DN
PHLDA1	ESC_J1_UP_LATE.V1_UP
PHLDA1	STK33_UP
NFE2L2	NFE2L2.V2
NFE2L2	RB_P107_DN.V1_DN
DNAJB4	STK33_SKM_UP
DNAJB4	CYCLIN_D1_KE_.V1_DN
DNAJB4	CYCLIN_D1_UP.V1_DN
PPP1R15A	STK33_NOMO_UP
PPP1R15A	KRAS.BREAST_UP.V1_UP
PPP1R15A	CAMP_UP.V1_UP
PPP1R15A	KRAS.600.LUNG.BREAST_UP.V1_UP
PPP1R15A	RELA_DN.V1_UP
PPP1R15A	STK33_UP
TRIB1	PDGF_ERK_DN.V1_DN
TRIB1	IL2_UP.V1_UP
TRIB1	PRC2_EED_UP.V1_UP
TRIB1	TGFB_UP.V1_UP
TRIB1	STK33_SKM_UP
TRIB1	IL15_UP.V1_UP
TRIB1	PKCA_DN.V1_DN
TRIB1	STK33_UP
TRIB1	PRC2_EZH2_UP.V1_UP
LAMB3	MEL18_DN.V1_UP
LAMB3	STK33_SKM_DN
LAMB3	BMI1_DN_MEL18_DN.V1_UP
LAMB3	GCNP_SHH_UP_EARLY.V1_DN
LAMB3	BMI1_DN.V1_UP
LAMB3	RB_DN.V1_DN
LAMB3	STK33_NOMO_UP
IFIT2	DCA_UP.V1_UP
IFIT2	TGFB_UP.V1_DN
IFIT2	MTOR_UP.V1_UP
IFIT2	AKT_UP.V1_UP
IFIT2	SNF5_DN.V1_UP
IFIT2	CAMP_UP.V1_UP
IFIT2	E2F1_UP.V1_DN
IFIT2	MEL18_DN.V1_DN
IFIT2	CSR_EARLY_UP.V1_DN
PLPP3	AKT_UP.V1_DN
PLPP3	PTEN_DN.V2_UP
PLPP3	AKT_UP_MTOR_DN.V1_DN
PLPP3	ESC_J1_UP_EARLY.V1_UP
PLPP3	RAPA_EARLY_UP.V1_DN
ETS2	KRAS.DF.V1_DN
ETS2	CAMP_UP.V1_DN
ETS2	PDGF_UP.V1_UP
ETS2	TGFB_UP.V1_UP
ETS2	EGFR_UP.V1_UP
ETS2	CYCLIN_D1_UP.V1_UP
ETS2	ATF2_S_UP.V1_UP
ETS2	CYCLIN_D1_KE_.V1_UP
CCL5	STK33_DN
CCL5	MTOR_UP.V1_UP
CCL5	STK33_SKM_DN
CCL5	CAMP_UP.V1_UP
CXCL2	P53_DN.V2_UP
CXCL2	TGFB_UP.V1_DN
CXCL2	LEF1_UP.V1_DN
CXCL2	STK33_NOMO_UP
CXCL2	KRAS.BREAST_UP.V1_UP
CXCL2	TBK1.DF_UP
CXCL2	HINATA_NFKB_IMMU_INF
CXCL2	KRAS.600.LUNG.BREAST_UP.V1_UP
CXCL2	TBK1.DN.48HRS_UP
CXCL2	STK33_UP
CXCL2	KRAS.LUNG.BREAST_UP.V1_UP
PMEPA1	PRC1_BMI_UP.V1_UP
PMEPA1	PRC2_SUZ12_UP.V1_UP
PMEPA1	MEL18_DN.V1_UP
PMEPA1	TBK1.DF_DN
PMEPA1	BMI1_DN_MEL18_DN.V1_UP
PMEPA1	PRC2_EED_UP.V1_UP
PMEPA1	BMI1_DN.V1_UP
PMEPA1	TGFB_UP.V1_UP
PMEPA1	LEF1_UP.V1_UP
PMEPA1	PRC2_EZH2_UP.V1_UP
TRAF1	RELA_DN.V1_DN
TRAF1	VEGF_A_UP.V1_UP
TRAF1	ATM_DN.V1_UP
TRAF1	KRAS.BREAST_UP.V1_UP
TRAF1	CAHOY_ASTROGLIAL
TRAF1	CYCLIN_D1_UP.V1_UP
TRAF1	KRAS.600.LUNG.BREAST_UP.V1_UP
TRAF1	CYCLIN_D1_KE_.V1_UP
TRAF1	CTIP_DN.V1_UP
TRAF1	KRAS.LUNG.BREAST_UP.V1_UP
SPSB1	TGFB_UP.V1_UP
RELA	HINATA_NFKB_IMMU_INF
CCL2	NRL_DN.V1_DN
CCL2	ATF2_S_UP.V1_DN
CCL2	RPS14_DN.V1_UP
CCL2	VEGF_A_UP.V1_UP
CCL2	SIRNA_EIF4GI_DN
CCL2	EGFR_UP.V1_UP
CCL2	CSR_LATE_UP.V1_DN
CCL2	ATF2_UP.V1_DN
CCL2	WNT_UP.V1_UP
CCL2	HINATA_NFKB_IMMU_INF
CCL2	E2F1_UP.V1_DN
CCL2	GCNP_SHH_UP_EARLY.V1_DN
CCL2	RELA_DN.V1_UP
STAT5A	GCNP_SHH_UP_EARLY.V1_UP
STAT5A	PRC2_SUZ12_UP.V1_UP
STAT5A	EIF4E_DN
STAT5A	AKT_UP.V1_DN
STAT5A	ATF2_UP.V1_UP
STAT5A	CYCLIN_D1_UP.V1_UP
HBEGF	PRC2_SUZ12_UP.V1_UP
HBEGF	MEL18_DN.V1_UP
HBEGF	BMI1_DN_MEL18_DN.V1_UP
HBEGF	ESC_V6.5_UP_EARLY.V1_DN
HBEGF	KRAS.600_UP.V1_UP
HBEGF	KRAS.LUNG_UP.V1_UP
HBEGF	AKT_UP_MTOR_DN.V1_UP
HBEGF	EGFR_UP.V1_UP
HBEGF	STK33_SKM_UP
HBEGF	TBK1.DF_UP
HBEGF	CSR_EARLY_UP.V1_UP
HBEGF	RAF_UP.V1_UP
HBEGF	KRAS.600.LUNG.BREAST_UP.V1_UP
HBEGF	BMI1_DN.V1_UP
HBEGF	STK33_UP
HBEGF	PRC2_EZH2_UP.V1_UP
HBEGF	KRAS.LUNG.BREAST_UP.V1_UP
ZBTB10	RAF_UP.V1_DN
ZBTB10	PRC1_BMI_UP.V1_UP
ZBTB10	PTEN_DN.V1_UP
ZBTB10	MEK_UP.V1_DN
ZBTB10	ERBB2_UP.V1_DN
SPHK1	AKT_UP.V1_UP
SPHK1	RPS14_DN.V1_DN
SPHK1	IL2_UP.V1_UP
SPHK1	KRAS.600.LUNG.BREAST_UP.V1_UP
SPHK1	PTEN_DN.V2_DN
SPHK1	TGFB_UP.V1_UP
SPHK1	AKT_UP_MTOR_DN.V1_UP
TNFAIP6	MEL18_DN.V1_UP
TNFAIP6	ATF2_S_UP.V1_DN
TNFAIP6	BMI1_DN_MEL18_DN.V1_UP
TNFAIP6	BMI1_DN.V1_UP
TNFAIP6	PRC2_EZH2_UP.V1_UP
TNFAIP6	STK33_NOMO_UP
HES1	E2F1_UP.V1_UP
HES1	RB_DN.V1_UP
HES1	LTE2_UP.V1_DN
HES1	MTOR_UP.N4.V1_DN
HES1	GCNP_SHH_UP_EARLY.V1_DN
HES1	NOTCH_DN.V1_DN
BCL2A1	RPS14_DN.V1_UP
BCL2A1	KRAS.LUNG_UP.V1_UP
BCL2A1	STK33_SKM_UP
BCL2A1	P53_DN.V1_DN
BCL2A1	STK33_UP
BIRC3	PRC1_BMI_UP.V1_UP
BIRC3	TGFB_UP.V1_DN
BIRC3	BMI1_DN_MEL18_DN.V1_UP
BIRC3	CAMP_UP.V1_DN
BIRC3	RPS14_DN.V1_UP
BIRC3	JNK_DN.V1_UP
BIRC3	KRAS.BREAST_UP.V1_UP
BIRC3	PTEN_DN.V2_UP
BIRC3	KRAS.600.LUNG.BREAST_UP.V1_UP
BIRC3	KRAS.LUNG.BREAST_UP.V1_UP
SERPINB8	HOXA9_DN.V1_UP
SERPINB8	STK33_SKM_DN
FOS	SRC_UP.V1_UP
FOS	TBK1.DF_DN
FOS	IL2_UP.V1_UP
FOS	ALK_DN.V1_DN
FOS	BMI1_DN_MEL18_DN.V1_DN
FOS	HOXA9_DN.V1_UP
FOS	WNT_UP.V1_UP
FOS	MYC_UP.V1_UP
FOS	RAF_UP.V1_DN
FOS	ATF2_S_UP.V1_DN
FOS	PDGF_UP.V1_UP
FOS	STK33_NOMO_UP
FOS	BMI1_DN.V1_DN
FOS	STK33_SKM_UP
FOS	IL15_UP.V1_UP
FOS	ATF2_UP.V1_DN
FOS	CAMP_UP.V1_UP
FOS	MEL18_DN.V1_DN
FOS	RELA_DN.V1_UP
FOS	STK33_UP
GADD45A	CRX_NRL_DN.V1_UP
GADD45A	NRL_DN.V1_UP
GADD45A	BMI1_DN_MEL18_DN.V1_UP
GADD45A	PDGF_UP.V1_UP
GADD45A	ESC_V6.5_UP_LATE.V1_DN
GADD45A	HOXA9_DN.V1_UP
GADD45A	RB_P130_DN.V1_DN
GADD45A	LTE2_UP.V1_DN
GADD45A	E2F1_UP.V1_DN
GADD45A	CYCLIN_D1_UP.V1_UP
GADD45A	RB_DN.V1_DN
IER5	HOXA9_DN.V1_UP
IER5	ESC_V6.5_UP_LATE.V1_UP
IER5	BCAT_BILD_ET_AL_DN
PLK2	RAF_UP.V1_DN
PLK2	AKT_UP.V1_UP
PLK2	HOXA9_DN.V1_UP
PLK2	STK33_SKM_UP
PLK2	GCNP_SHH_UP_LATE.V1_UP
PLK2	E2F1_UP.V1_DN
PLK2	RPS14_DN.V1_UP
PLK2	GCNP_SHH_UP_EARLY.V1_DN
PLK2	AKT_UP_MTOR_DN.V1_UP
SIK1	MEL18_DN.V1_UP
SIK1	ATF2_UP.V1_DN
SIK1	PKCA_DN.V1_DN
SIK1	BMI1_DN_MEL18_DN.V1_UP
SIK1	PDGF_UP.V1_UP
CXCL6	P53_DN.V2_UP
CXCL6	HINATA_NFKB_IMMU_INF
CXCL6	CSR_LATE_UP.V1_UP
CXCL6	STK33_NOMO_UP
CCND1	RAF_UP.V1_DN
CCND1	MEL18_DN.V1_UP
CCND1	TBK1.DF_DN
CCND1	BMI1_DN_MEL18_DN.V1_UP
CCND1	JAK2_DN.V1_UP
CCND1	BMI1_DN.V1_UP
BCL3	MEK_UP.V1_UP
BCL3	STK33_SKM_UP
BCL3	CRX_DN.V1_DN
BCL3	ERBB2_UP.V1_UP
BCL3	ESC_J1_UP_LATE.V1_DN
BCL3	NRL_DN.V1_UP
BCL3	PDGF_UP.V1_DN
BCL3	ESC_V6.5_UP_EARLY.V1_DN
BCL3	KRAS.DF.V1_UP
BCL3	ESC_J1_UP_EARLY.V1_DN
BCL3	ESC_V6.5_UP_LATE.V1_DN
BCL3	STK33_UP
BCL3	EGFR_UP.V1_UP
BCL3	STK33_NOMO_UP
TNFAIP3	P53_DN.V2_UP
TNFAIP3	CRX_NRL_DN.V1_UP
TNFAIP3	PRC1_BMI_UP.V1_UP
TNFAIP3	NRL_DN.V1_UP
TNFAIP3	BCAT_BILD_ET_AL_DN
TNFAIP3	KRAS.BREAST_UP.V1_UP
TNFAIP3	TBK1.DF_UP
TNFAIP3	CRX_DN.V1_UP
TNFAIP3	KRAS.600.LUNG.BREAST_UP.V1_UP
TNFAIP3	PGF_UP.V1_DN
TNFAIP3	KRAS.LUNG.BREAST_UP.V1_UP
SNN	KRAS.600.LUNG.BREAST_UP.V1_DN
SNN	RB_P130_DN.V1_UP
SNN	WNT_UP.V1_UP
SNN	CAMP_UP.V1_DN
ICOSLG	MTOR_UP.V1_DN
GPR183	RPS14_DN.V1_UP
GPR183	HOXA9_DN.V1_UP
GPR183	STK33_SKM_UP
GPR183	PTEN_DN.V2_UP
GPR183	RELA_DN.V1_UP
GPR183	PRC1_BMI_UP.V1_DN
KLF6	IL2_UP.V1_UP
KLF6	AKT_UP_MTOR_DN.V1_UP
KLF6	STK33_NOMO_UP
KLF6	AKT_UP.V1_UP
KLF6	STK33_SKM_UP
KLF6	RAF_UP.V1_UP
KLF6	RELA_DN.V1_UP
KLF6	STK33_UP
DENND5A	JNK_DN.V1_DN
MAFF	PDGF_ERK_DN.V1_DN
MAFF	IL2_UP.V1_UP
MAFF	P53_DN.V1_UP
MAFF	STK33_NOMO_UP
MAFF	IL15_UP.V1_UP
